,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
86,0.023065,0.01794,0.002563,0.0,0.0,0.001281,0.001281,0.002563,0.016658,0.01922
87,0.021784,0.016658,0.001282,0.0,0.0,0.0,0.001281,0.002563,0.01794,0.017939
88,0.023065,0.01794,0.001282,0.0,0.0,0.001281,0.0,0.003845,0.016658,0.01922
89,0.023065,0.016658,0.003845,0.0,0.0,0.001281,0.001281,0.002563,0.01794,0.01922
90,0.024347,0.016658,0.002563,0.0,0.0,0.001281,0.0,0.003845,0.016658,0.017939
91,0.025628,0.01794,0.002563,0.0,0.0,0.0,0.0,0.003845,0.01794,0.017939
92,0.023065,0.01794,0.002563,0.0,0.0,0.001281,0.0,0.003845,0.016658,0.017939
93,0.023065,0.019221,0.002563,0.0,0.0,0.001281,0.0,0.002563,0.015377,0.017939
94,0.024347,0.016658,0.002563,0.0,0.0,0.0,0.001281,0.002563,0.016658,0.01922
95,0.024347,0.016658,0.003845,0.0,0.0,0.0,0.0,0.001282,0.01794,0.020501
96,0.024347,0.01794,0.003845,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
97,0.023065,0.016658,0.002563,0.0,0.0,0.0,0.0,0.002563,0.016658,0.017939
98,0.021784,0.01794,0.002563,0.0,0.0,0.0,0.0,0.001282,0.016658,0.017939
99,0.023065,0.01794,0.001282,0.0,0.0,0.002562,0.0,0.001282,0.015377,0.017939
100,0.024347,0.015377,0.002563,0.0,0.0,0.0,0.001281,0.002563,0.016658,0.01922
101,0.024347,0.01794,0.002563,0.0,0.0,0.0,0.0,0.002563,0.01794,0.017939
102,0.024347,0.015377,0.001282,0.0,0.0,0.0,0.0,0.001282,0.016658,0.017939
103,0.021784,0.016658,0.002563,0.0,0.0,0.0,0.0,0.001282,0.016658,0.017939
104,0.023065,0.016658,0.003845,0.0,0.0,0.0,0.0,0.001282,0.01794,0.01922
105,0.021784,0.015377,0.002563,0.0,0.0,0.0,0.0,0.001282,0.015377,0.01922
106,0.021784,0.01794,0.003845,0.0,0.0,0.0,0.0,0.002563,0.01794,0.01922
107,0.023065,0.015377,0.002563,0.0,0.0,0.0,0.0,0.002563,0.016658,0.016657
108,0.023065,0.016658,0.002563,0.0,0.0,0.0,0.0,0.001282,0.016658,0.020501
109,0.021784,0.016658,0.002563,0.0,0.0,0.0,0.0,0.001282,0.016658,0.017939
110,0.023065,0.015377,0.002563,0.0,0.0,0.0,0.0,0.003845,0.016658,0.017939
111,0.021784,0.016658,0.003845,0.0,0.0,0.0,0.0,0.002563,0.016658,0.01922
112,0.023065,0.014096,0.001282,0.0,0.0,0.0,0.0,0.002563,0.016658,0.01922
113,0.023065,0.015377,0.002563,0.0,0.0,0.0,0.0,0.002563,0.019221,0.017939
114,0.025628,0.01794,0.003845,0.0,0.0,0.001281,0.0,0.002563,0.01794,0.017939
115,0.023065,0.014096,0.002563,0.0,0.0,0.001281,0.0,0.001282,0.019221,0.021783
116,0.021784,0.016658,0.001282,0.0,0.0,0.001281,0.0,0.002563,0.01794,0.017939
117,0.023065,0.016658,0.001282,0.0,0.0,0.0,0.0,0.002563,0.016658,0.017939
118,0.021784,0.014096,0.001282,0.0,0.0,0.0,0.001281,0.002563,0.020503,0.017939
119,0.023065,0.015377,0.002563,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
120,0.024347,0.014096,0.002563,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
121,0.024347,0.014096,0.002563,0.0,0.0,0.0,0.0,0.0,0.01794,0.01922
122,0.023065,0.015377,0.002563,0.0,0.0,0.0,0.0,0.005126,0.019221,0.01922
123,0.024347,0.014096,0.002563,0.0,0.0,0.0,0.0,0.0,0.01794,0.01922
124,0.023065,0.015377,0.001282,0.0,0.0,0.0,0.0,0.002563,0.016658,0.017939
125,0.023065,0.015377,0.002563,0.0,0.0,0.001281,0.0,0.001282,0.01794,0.020501
126,0.024347,0.015377,0.002563,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
127,0.021784,0.015377,0.001282,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
128,0.023065,0.014096,0.002563,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
129,0.023065,0.014096,0.001282,0.0,0.0,0.0,0.0,0.002563,0.016658,0.017939
130,0.023065,0.015377,0.002563,0.0,0.0,0.0,0.0,0.001282,0.016658,0.017939
131,0.023065,0.015377,0.001282,0.0,0.0,0.0,0.0,0.002563,0.016658,0.01922
132,0.021784,0.015377,0.001282,0.0,0.0,0.001281,0.0,0.0,0.016658,0.01922
133,0.021784,0.014096,0.001282,0.0,0.0,0.0,0.0,0.002563,0.016658,0.01922
134,0.024347,0.014096,0.002563,0.0,0.0,0.0,0.0,0.002563,0.016658,0.01922
135,0.024347,0.012814,0.001282,0.0,0.0,0.0,0.0,0.001282,0.01794,0.017939
136,0.024347,0.015377,0.001282,0.0,0.0,0.0,0.0,0.005126,0.01794,0.017939
137,0.024347,0.015377,0.002563,0.0,0.0,0.0,0.0,0.001282,0.01794,0.01922
138,0.023065,0.014096,0.002563,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
139,0.023065,0.015377,0.002563,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
140,0.024347,0.012814,0.002563,0.0,0.0,0.0,0.0,0.002563,0.01794,0.01922
141,0.021784,0.014096,0.002563,0.0,0.0,0.0,0.0,0.001282,0.019221,0.017939
142,0.021784,0.014096,0.002563,0.0,0.0,0.0,0.0,0.001282,0.01794,0.017939
143,0.023065,0.012814,0.002563,0.0,0.0,0.0,0.0,0.0,0.016658,0.01922
144,0.021784,0.012814,0.001282,0.0,0.0,0.0,0.0,0.0,0.016658,0.017939
145,0.023065,0.012814,0.001282,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
146,0.024347,0.012814,0.002563,0.0,0.0,0.001281,0.002562,0.001282,0.016658,0.017939
147,0.024347,0.014096,0.001282,0.0,0.0,0.0,0.0,0.002563,0.016658,0.017939
148,0.024347,0.012814,0.001282,0.0,0.0,0.0,0.0,0.002563,0.016658,0.017939
149,0.021784,0.012814,0.002563,0.0,0.0,0.0,0.0,0.001282,0.016658,0.017939
150,0.023065,0.015377,0.002563,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
151,0.023065,0.012814,0.002563,0.0,0.0,0.0,0.0,0.002563,0.016658,0.021783
152,0.023065,0.014096,0.003845,0.0,0.0,0.0,0.0,0.001282,0.016658,0.021783
153,0.021784,0.012814,0.003845,0.0,0.0,0.0,0.0,0.001282,0.016658,0.017939
154,0.024347,0.012814,0.001282,0.0,0.0,0.0,0.0,0.001282,0.01794,0.017939
155,0.024347,0.014096,0.002563,0.0,0.0,0.0,0.0,0.001282,0.01794,0.01922
156,0.024347,0.012814,0.002563,0.0,0.0,0.0,0.0,0.002563,0.016658,0.01922
157,0.023065,0.012814,0.002563,0.0,0.0,0.0,0.0,0.001282,0.01794,0.01922
158,0.025628,0.014096,0.003845,0.0,0.0,0.0,0.001281,0.002563,0.016658,0.017939
159,0.024347,0.014096,0.002563,0.0,0.0,0.0,0.0,0.0,0.016658,0.017939
160,0.021784,0.014096,0.002563,0.0,0.0,0.0,0.0,0.001282,0.01794,0.017939
161,0.023065,0.012814,0.003845,0.0,0.0,0.0,0.0,0.001282,0.01794,0.017939
162,0.021784,0.011533,0.001282,0.0,0.0,0.0,0.0,0.001282,0.016658,0.017939
163,0.020503,0.011533,0.0,0.0,0.0,0.0,0.0,0.0,0.012814,0.014095
164,0.023065,0.014096,0.001282,0.0,0.0,0.0,0.0,0.001282,0.015377,0.017939
165,0.024347,0.012814,0.001282,0.0,0.0,0.0,0.0,0.001282,0.016658,0.017939
166,0.021784,0.012814,0.001282,0.0,0.0,0.0,0.0,0.0,0.015377,0.017939
167,0.023065,0.014096,0.001282,0.0,0.0,0.0,0.0,0.0,0.016658,0.016657
168,0.023065,0.012814,0.001282,0.0,0.0,0.0,0.001281,0.001282,0.016658,0.01922
169,0.023065,0.012814,0.002563,0.0,0.0,0.0,0.0,0.001282,0.015377,0.017939
170,0.024347,0.014096,0.002563,0.0,0.0,0.0,0.0,0.0,0.015377,0.017939
171,0.024347,0.012814,0.001282,0.0,0.0,0.0,0.0,0.002563,0.01794,0.017939
172,0.023065,0.012814,0.002563,0.0,0.0,0.0,0.0,0.0,0.016658,0.017939
173,0.021784,0.012814,0.002563,0.0,0.0,0.0,0.0,0.001282,0.01794,0.016657
174,0.023065,0.012814,0.001282,0.0,0.0,0.0,0.001281,0.001282,0.016658,0.01922
175,0.023065,0.012814,0.0,0.0,0.0,0.0,0.0,0.0,0.016658,0.01922
176,0.024347,0.012814,0.001282,0.0,0.0,0.0,0.0,0.0,0.016658,0.017939
177,0.023065,0.012814,0.002563,0.0,0.0,0.0,0.0,0.001282,0.015377,0.017939
178,0.021784,0.014096,0.0,0.0,0.0,0.0,0.0,0.002563,0.01794,0.017939
179,0.023065,0.012814,0.001282,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
180,0.023065,0.014096,0.001282,0.0,0.0,0.0,0.0,0.002563,0.016658,0.01922
181,0.023065,0.011533,0.001282,0.0,0.0,0.0,0.0,0.001282,0.015377,0.01922
182,0.025628,0.014096,0.0,0.0,0.0,0.0,0.0,0.001282,0.016658,0.020501
183,0.023065,0.014096,0.001282,0.0,0.0,0.0,0.0,0.001282,0.015377,0.017939
184,0.021784,0.011533,0.002563,0.0,0.0,0.0,0.0,0.001282,0.016658,0.017939
185,0.023065,0.012814,0.001282,0.0,0.0,0.0,0.0,0.0,0.016658,0.017939
186,0.024347,0.011533,0.002563,0.0,0.0,0.0,0.0,0.002563,0.016658,0.01922
187,0.023065,0.014096,0.002563,0.0,0.0,0.0,0.0,0.0,0.015377,0.01922
188,0.024347,0.014096,0.001282,0.0,0.0,0.0,0.0,0.0,0.015377,0.017939
189,0.021784,0.011533,0.001282,0.0,0.0,0.0,0.0,0.002563,0.015377,0.017939
190,0.023065,0.012814,0.0,0.0,0.0,0.0,0.0,0.001282,0.016658,0.017939
191,0.023065,0.012814,0.001282,0.0,0.0,0.0,0.0,0.001282,0.015377,0.01922
192,0.023065,0.011533,0.001282,0.0,0.0,0.0,0.0,0.0,0.016658,0.01922
193,0.023065,0.012814,0.0,0.0,0.0,0.0,0.0,0.0,0.015377,0.01922
194,0.025628,0.012814,0.002563,0.0,0.0,0.0,0.0,0.0,0.016658,0.020501
195,0.023065,0.012814,0.001282,0.0,0.0,0.0,0.0,0.001282,0.016658,0.017939
196,0.023065,0.014096,0.001282,0.0,0.0,0.0,0.0,0.001282,0.015377,0.017939
197,0.021784,0.011533,0.0,0.0,0.0,0.0,0.0,0.001282,0.016658,0.017939
198,0.024347,0.014096,0.001282,0.0,0.0,0.0,0.0,0.0,0.015377,0.01922
199,0.023065,0.011533,0.001282,0.0,0.0,0.0,0.0,0.0,0.016658,0.01922
200,0.024347,0.014096,0.0,0.0,0.0,0.0,0.0,0.0,0.015377,0.020501
201,0.024347,0.014096,0.0,0.0,0.0,0.001281,0.0,0.001282,0.016658,0.017939
202,0.024347,0.014096,0.002563,0.0,0.0,0.001281,0.0,0.001282,0.015377,0.020501
203,0.021784,0.014096,0.0,0.0,0.0,0.0,0.0,0.001282,0.014096,0.017939
204,0.024347,0.012814,0.002563,0.0,0.0,0.0,0.0,0.0,0.015377,0.017939
205,0.021784,0.012814,0.0,0.0,0.0,0.0,0.0,0.0,0.015377,0.01922
206,0.024347,0.015377,0.002563,0.0,0.0,0.0,0.0,0.001282,0.015377,0.01922
207,0.023065,0.012814,0.001282,0.0,0.0,0.0,0.0,0.0,0.016658,0.01922
208,0.021784,0.014096,0.0,0.0,0.0,0.0,0.0,0.0,0.015377,0.017939
209,0.021784,0.012814,0.001282,0.0,0.0,0.0,0.0,0.0,0.015377,0.017939
210,0.024347,0.012814,0.001282,0.0,0.0,0.0,0.0,0.0,0.016658,0.01922
211,0.023065,0.012814,0.001282,0.0,0.0,0.0,0.0,0.0,0.015377,0.01922
212,0.024347,0.012814,0.001282,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
213,0.024347,0.014096,0.002563,0.0,0.0,0.0,0.0,0.001282,0.015377,0.01922
214,0.025628,0.014096,0.0,0.0,0.0,0.0,0.0,0.001282,0.015377,0.017939
215,0.024347,0.012814,0.0,0.0,0.0,0.0,0.0,0.001282,0.015377,0.017939
216,0.024347,0.014096,0.0,0.0,0.0,0.0,0.0,0.0,0.016658,0.017939
217,0.023065,0.012814,0.0,0.0,0.0,0.0,0.0,0.001282,0.015377,0.01922
218,0.023065,0.014096,0.001282,0.0,0.0,0.0,0.0,0.003845,0.015377,0.01922
219,0.024347,0.014096,0.001282,0.0,0.0,0.0,0.0,0.0,0.015377,0.01922
220,0.021784,0.012814,0.0,0.0,0.0,0.0,0.0,0.001282,0.016658,0.017939
221,0.021784,0.014096,0.001282,0.0,0.0,0.0,0.0,0.0,0.016658,0.017939
222,0.02691,0.014096,0.0,0.0,0.0,0.0,0.0,0.0,0.016658,0.017939
223,0.023065,0.012814,0.0,0.0,0.0,0.0,0.0,0.0,0.016658,0.017939
224,0.024347,0.014096,0.001282,0.0,0.0,0.0,0.0,0.0,0.015377,0.01922
225,0.024347,0.012814,0.001282,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
226,0.021784,0.014096,0.0,0.0,0.0,0.0,0.0,0.0,0.015377,0.01922
227,0.023065,0.015377,0.0,0.0,0.0,0.0,0.0,0.0,0.016658,0.01922
228,0.023065,0.012814,0.0,0.0,0.0,0.0,0.0,0.0,0.015377,0.020501
229,0.023065,0.014096,0.0,0.0,0.0,0.0,0.0,0.0,0.015377,0.01922
230,0.023065,0.012814,0.0,0.0,0.0,0.0,0.0,0.001282,0.014096,0.01922
231,0.024347,0.012814,0.0,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
232,0.024347,0.014096,0.0,0.0,0.0,0.0,0.0,0.001282,0.014096,0.01922
233,0.021784,0.012814,0.0,0.0,0.0,0.0,0.0,0.0,0.015377,0.017939
234,0.023065,0.014096,0.001282,0.0,0.0,0.0,0.0,0.002563,0.014096,0.017939
235,0.023065,0.012814,0.0,0.0,0.0,0.0,0.0,0.002563,0.016658,0.017939
236,0.024347,0.012814,0.001282,0.0,0.0,0.0,0.0,0.001282,0.014096,0.01922
237,0.021784,0.012814,0.001282,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
238,0.024347,0.012814,0.0,0.0,0.0,0.0,0.0,0.0,0.016658,0.01922
239,0.021784,0.014096,0.001282,0.0,0.0,0.0,0.0,0.0,0.014096,0.017939
240,0.023065,0.014096,0.001282,0.0,0.0,0.0,0.0,0.0,0.015377,0.017939
241,0.023065,0.011533,0.001282,0.0,0.0,0.0,0.0,0.001282,0.014096,0.017939
242,0.021784,0.014096,0.001282,0.0,0.0,0.001281,0.0,0.001282,0.015377,0.01922
243,0.021784,0.010251,0.0,0.0,0.0,0.0,0.0,0.0,0.014096,0.017939
244,0.023065,0.012814,0.0,0.0,0.0,0.0,0.0,0.0,0.015377,0.017939
245,0.021784,0.014096,0.0,0.0,0.0,0.0,0.0,0.0,0.016658,0.017939
246,0.024347,0.014096,0.002563,0.0,0.0,0.0,0.0,0.003845,0.015377,0.017939
247,0.023065,0.011533,0.0,0.0,0.0,0.0,0.0,0.001282,0.014096,0.017939
248,0.023065,0.014096,0.0,0.0,0.0,0.0,0.0,0.001282,0.015377,0.01922
249,0.024347,0.012814,0.0,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
250,0.024347,0.012814,0.002563,0.0,0.0,0.0,0.0,0.001282,0.014096,0.01922
251,0.023065,0.012814,0.0,0.0,0.0,0.0,0.0,0.0,0.015377,0.01922
252,0.021784,0.011533,0.001282,0.0,0.0,0.0,0.0,0.003845,0.014096,0.017939
253,0.025628,0.011533,0.0,0.0,0.0,0.0,0.0,0.001282,0.015377,0.017939
254,0.023065,0.011533,0.001282,0.0,0.0,0.0,0.0,0.001282,0.014096,0.01922
255,0.024347,0.012814,0.001282,0.0,0.0,0.0,0.0,0.002563,0.014096,0.01922
256,0.024347,0.011533,0.001282,0.0,0.0,0.0,0.0,0.0,0.014096,0.021783
257,0.021784,0.012814,0.003845,0.0,0.0,0.0,0.0,0.0,0.015377,0.017939
258,0.023065,0.014096,0.001282,0.0,0.0,0.0,0.0,0.001282,0.014096,0.017939
259,0.021784,0.012814,0.0,0.0,0.0,0.0,0.0,0.001282,0.015377,0.01922
260,0.024347,0.012814,0.0,0.0,0.0,0.0,0.0,0.001282,0.014096,0.020501
261,0.021784,0.014096,0.0,0.0,0.0,0.0,0.0,0.0,0.014096,0.01922
262,0.023065,0.014096,0.0,0.0,0.0,0.0,0.0,0.0,0.015377,0.01922
263,0.021784,0.014096,0.001282,0.0,0.0,0.0,0.0,0.001282,0.014096,0.017939
264,0.023065,0.012814,0.001282,0.0,0.0,0.0,0.0,0.001282,0.015377,0.017939
265,0.023065,0.012814,0.001282,0.0,0.0,0.0,0.0,0.0,0.014096,0.01922
266,0.024347,0.012814,0.001282,0.0,0.0,0.0,0.0,0.001282,0.015377,0.017939
267,0.021784,0.012814,0.001282,0.0,0.0,0.0,0.0,0.0,0.014096,0.01922
268,0.023065,0.014096,0.001282,0.0,0.0,0.0,0.0,0.0,0.015377,0.01922
269,0.021784,0.012814,0.0,0.0,0.0,0.0,0.0,0.001282,0.012814,0.017939
270,0.021784,0.011533,0.001282,0.0,0.0,0.0,0.0,0.001282,0.015377,0.017939
271,0.023065,0.012814,0.001282,0.0,0.0,0.0,0.0,0.001282,0.014096,0.01922
272,0.023065,0.012814,0.0,0.0,0.0,0.0,0.0,0.001282,0.015377,0.017939
273,0.023065,0.012814,0.001282,0.0,0.0,0.0,0.0,0.0,0.014096,0.01922
274,0.021784,0.012814,0.0,0.0,0.0,0.0,0.0,0.0,0.015377,0.016657
275,0.023065,0.011533,0.0,0.0,0.0,0.0,0.0,0.0,0.015377,0.017939
276,0.021784,0.012814,0.0,0.0,0.0,0.0,0.0,0.001282,0.014096,0.017939
277,0.023065,0.012814,0.0,0.0,0.0,0.0,0.0,0.001282,0.015377,0.01922
278,0.024347,0.014096,0.0,0.0,0.0,0.0,0.0,0.001282,0.014096,0.01922
279,0.024347,0.014096,0.002563,0.0,0.0,0.0,0.0,0.001282,0.014096,0.01922
280,0.021784,0.012814,0.001282,0.0,0.0,0.0,0.0,0.0,0.014096,0.01922
281,0.021784,0.011533,0.001282,0.0,0.0,0.0,0.0,0.001282,0.015377,0.017939
282,0.023065,0.014096,0.001282,0.0,0.0,0.0,0.0,0.001282,0.014096,0.017939
283,0.023065,0.012814,0.001282,0.0,0.0,0.0,0.0,0.0,0.014096,0.017939
284,0.023065,0.012814,0.001282,0.0,0.0,0.0,0.0,0.0,0.014096,0.01922
285,0.021784,0.012814,0.001282,0.0,0.0,0.0,0.0,0.0,0.014096,0.01922
286,0.021784,0.011533,0.0,0.0,0.0,0.0,0.0,0.002563,0.014096,0.01922
287,0.021784,0.011533,0.0,0.0,0.0,0.0,0.0,0.001282,0.015377,0.017939
288,0.023065,0.012814,0.0,0.0,0.0,0.0,0.0,0.001282,0.015377,0.017939
